iter	MultiClass
116	0.6271996593
117	0.6253989488
118	0.6223146193
119	0.6197529798
120	0.6180748523
121	0.6163419481
122	0.614826154
123	0.6126650048
124	0.6113098976
125	0.6087692607
126	0.6072761433
127	0.6053925969
128	0.6037525873
129	0.6024898608
130	0.6002448421
131	0.5979330212
132	0.595424863
133	0.5936774816
134	0.5914987428
135	0.589829001
136	0.58806309
137	0.5864407908
138	0.5848610012
139	0.5830970627
140	0.5817084249
141	0.5799927115
142	0.5782897971
143	0.5771582969
144	0.5748130167
145	0.572101153
146	0.5702788865
147	0.5683456829
148	0.5666472517
149	0.5649327205
150	0.5629227853
151	0.5616542876
152	0.5596281495
153	0.5580446821
154	0.5560876565
155	0.5543987238
156	0.5527583101
157	0.5514110446
158	0.5501711478
159	0.5497701362
160	0.5480626625
161	0.547002684
162	0.5449699962
163	0.5438417833
164	0.5425073855
165	0.5403697083
166	0.5387947533
167	0.5376981349
168	0.5363732624
169	0.534976116
170	0.5334008711
171	0.5307274481
172	0.5289856302
173	0.5274376987
174	0.5256188848
175	0.5242726937
176	0.5234904303
177	0.5222250463
178	0.5210725573
179	0.5193085781
180	0.5182693232
181	0.5167678248
182	0.5158072815
183	0.5147797835
184	0.5135622904
185	0.5126140994
186	0.5112050898
187	0.509466013
188	0.5080556102
189	0.5065781325
190	0.5053968022
191	0.504027359
192	0.5028380307
193	0.5015568551
194	0.5002163411
195	0.4987466419
196	0.496285699
197	0.4949162723
198	0.4930873297
199	0.4912396127
200	0.4896681951
201	0.4883370277
202	0.4871437835
203	0.4864489272
204	0.485322261
205	0.4839145761
206	0.4826870043
207	0.4813353675
208	0.4800435173
209	0.4789627874
210	0.4782601192
211	0.4772658472
212	0.4758834611
213	0.4750770515
214	0.474126863
215	0.4727893026
216	0.4711327368
217	0.4699261769
218	0.4685930506
219	0.4671060983
220	0.4663880592
221	0.4654777782
222	0.4639534041
223	0.4628288399
224	0.4621656218
225	0.4609137708
226	0.4598322504
227	0.4587329193
228	0.45719223
229	0.4559976335
230	0.4546461627
231	0.4531951396
232	0.4522504658
233	0.451427208
234	0.4501580648
235	0.4490322511
236	0.4479635102
237	0.4468148087
238	0.4457952657
239	0.4442950629
240	0.4433223981
241	0.4422310309
242	0.4406374401
243	0.4395097915
244	0.4385327384
245	0.437627182
246	0.4361557375
247	0.4351400887
248	0.4345696555
249	0.433499785
250	0.4327464762
251	0.4312395329
252	0.4293788537
253	0.4284832645
254	0.4271639317
255	0.4258191888
256	0.4250023123
257	0.4238038916
258	0.4230691128
259	0.4211277653
260	0.4201227122
261	0.4193400167
262	0.4176097832
263	0.4164310649
264	0.4155671046
265	0.4143922699
266	0.4125816179
267	0.4116665905
268	0.4103715911
269	0.409250066
270	0.4079412683
271	0.4068440734
272	0.405790053
273	0.4049891014
274	0.4040211517
275	0.4030072265
276	0.401496205
277	0.4004617816
278	0.3998156293
279	0.3989619065
280	0.3978814445
281	0.3965057087
282	0.3957131176
283	0.3943948372
284	0.3935619767
285	0.3929972241
286	0.3923715539
287	0.3911945636
288	0.3894038971
289	0.388148509
290	0.387167479
291	0.3864900492
292	0.3858947371
293	0.3850976773
294	0.3837045067
295	0.3830238118
296	0.3825595414
297	0.3816822457
298	0.3810419939
299	0.3803353855
300	0.3795395176
301	0.3786664831
302	0.3778772346
303	0.3764379715
304	0.3752062307
305	0.3742045292
306	0.3735636925
307	0.3724006047
308	0.3717717771
309	0.3709681595
310	0.3702502703
311	0.3694540852
312	0.3688422341
313	0.3680915017
314	0.3670469079
315	0.3662161839
316	0.365869937
317	0.364839478
318	0.3640808606
319	0.3637537555
320	0.3627205022
321	0.3614140887
322	0.3604994197
323	0.359751313
324	0.3587135394
325	0.3576153463
326	0.3563633652
327	0.3548640513
328	0.3542803932
329	0.3535965079
330	0.3528611151
331	0.35201768
332	0.3505777688
333	0.3493874993
334	0.3481123937
335	0.3473988538
336	0.3465101704
337	0.3456011773
338	0.3439532973
339	0.3431755701
340	0.3424625275
341	0.3412826161
342	0.3404422413
343	0.3393921867
344	0.3384457904
345	0.3377232649
346	0.3369421196
347	0.3362299199
348	0.3355535716
349	0.3346153256
350	0.3337356728
351	0.332946568
352	0.3323333356
353	0.3315419708
354	0.331047566
355	0.3301963267
356	0.3295010346
357	0.3285318845
358	0.3275795311
359	0.3266270637
360	0.3260886027
361	0.3251592952
362	0.3241280389
363	0.3237051799
364	0.3231848093
365	0.3222190327
366	0.3219103167
367	0.3215443786
368	0.320735141
369	0.3202802527
370	0.3198771807
371	0.3187322625
372	0.3178891991
373	0.3168017939
374	0.315815017
375	0.3152049849
376	0.3144410306
377	0.3137260758
378	0.3132970282
379	0.3125173766
380	0.31192853
381	0.3110212631
382	0.3102845924
383	0.3092596722
384	0.308491427
385	0.3074749291
386	0.3067841175
387	0.3060942159
388	0.3051761716
389	0.3045674122
390	0.3038227802
391	0.3033356315
392	0.3028320285
393	0.3019934026
394	0.3013473644
395	0.3007531958
396	0.300221421
397	0.2994093771
398	0.2985537699
399	0.2981364149
400	0.2972925877
401	0.2965144033
402	0.2957050995
403	0.2950374921
404	0.2945136365
405	0.2935546749
406	0.2931566715
407	0.2924674434
408	0.2920606789
409	0.2914478714
410	0.2910194507
411	0.2904317006
412	0.2896164184
413	0.2890681921
414	0.2887315557
415	0.28836618
416	0.2873433669
417	0.2866429821
418	0.2862305306
419	0.2857364456
420	0.2851383444
421	0.2843995735
422	0.2836910261
423	0.2831087693
424	0.2825126722
425	0.2820395188
426	0.2814955429
427	0.2808931845
428	0.2803502998
429	0.279409859
430	0.2788587877
431	0.2784529802
432	0.277881592
433	0.2771813093
434	0.2766889089
435	0.2761390262
436	0.2757416763
437	0.2751314699
438	0.2745672549
439	0.2737479928
440	0.2734940599
441	0.2726719002
442	0.2718425784
443	0.2712300096
444	0.2707428654
445	0.2699404311
446	0.2692193036
447	0.2685411652
448	0.2678782241
449	0.2675316753
450	0.267040885
451	0.2661968158
452	0.265628679
453	0.2651597042
454	0.2645801777
455	0.2640717751
456	0.263116886
457	0.2623755555
458	0.2618474923
459	0.2613539718
460	0.2607235551
461	0.2597484626
462	0.2592173982
463	0.258778688
464	0.2581787222
465	0.2577563902
466	0.25740359
467	0.2566923565
468	0.2560542582
469	0.2554805429
470	0.2548576664
471	0.2544614991
472	0.253924067
473	0.2530673586
474	0.2522492379
475	0.2515883291
476	0.2513565774
477	0.2506507433
478	0.2500714835
479	0.2495090725
480	0.2490385922
481	0.2481690099
482	0.2478521397
483	0.2473842056
484	0.2469197361
485	0.2461584602
486	0.2453695076
487	0.2448784118
488	0.2443838084
489	0.243873082
490	0.2433686119
491	0.2429677305
492	0.2425250103
493	0.2417600099
494	0.2411882248
495	0.2407714823
496	0.2403565464
497	0.2401033959
498	0.2397668548
499	0.2394826651
500	0.2391063078
501	0.2387133645
502	0.238040292
503	0.2374827062
504	0.2368858486
505	0.2366552121
506	0.2360229084
507	0.2357175062
508	0.2353284188
509	0.2349112744
510	0.2344174755
511	0.2340596932
512	0.23376058
513	0.2331083009
514	0.2325465212
515	0.2321717325
516	0.2317344808
517	0.2311700079
518	0.2306019743
519	0.2302218929
520	0.2295283697
521	0.2292796205
522	0.2284678373
523	0.2281319822
524	0.2277788681
525	0.2272881543
526	0.226993377
527	0.2268659129
528	0.2264778639
529	0.2261891765
530	0.2257839395
531	0.2254327144
532	0.2246181765
533	0.2243380838
534	0.2237182475
535	0.2232415445
536	0.2225416032
537	0.2220710765
538	0.2216815433
539	0.2212961796
540	0.2208072399
541	0.2202961093
542	0.219969487
543	0.2196605885
544	0.2188283467
545	0.2184182588
546	0.2178017811
547	0.2172483163
548	0.2168678457
549	0.2162999742
550	0.2158790356
551	0.2153955607
552	0.2149983038
553	0.2145036743
554	0.2139423385
555	0.2132157129
556	0.212505113
557	0.2118833079
558	0.2113158419
559	0.2109978199
560	0.2104235495
561	0.2097967253
562	0.2093754445
563	0.2087563702
564	0.2083177458
565	0.2079311731
566	0.207257109
567	0.2067129122
568	0.2062961877
569	0.2057461695
570	0.2051930602
571	0.2047940636
572	0.2042499568
573	0.2039426732
574	0.2036861376
575	0.2033147343
576	0.203078158
577	0.2028625113
578	0.2023501632
579	0.2019603074
580	0.2013862933
581	0.2010954269
582	0.2007183402
583	0.2003925105
584	0.2000769141
585	0.1996797718
586	0.1994667197
587	0.1991170715
588	0.1986187386
589	0.1982667112
590	0.1977383784
591	0.1973339022
592	0.1967577248
593	0.1963574803
594	0.1958227974
595	0.1954430103
596	0.1949852703
597	0.194811214
598	0.1943658764
599	0.1940276783
600	0.1938364919
601	0.1934342434
602	0.1932610827
603	0.192931562
604	0.1925329147
605	0.1920140276
606	0.1918240154
607	0.191454893
608	0.1910838532
609	0.1906423229
610	0.1904164862
611	0.1901015039
612	0.1899136227
613	0.1894538148
614	0.1892860625
615	0.1890894062
616	0.1889086301
617	0.188487721
618	0.188034289
619	0.187683117
620	0.1874597617
621	0.1870712218
622	0.1868557881
623	0.1864608503
624	0.1860578452
625	0.1858916828
626	0.1857716064
627	0.1854386763
628	0.1852026495
629	0.1847952628
630	0.1844132678
631	0.1840418758
632	0.1837244169
633	0.1834480823
634	0.1830621457
635	0.1828477338
636	0.1826710978
637	0.1823729681
638	0.1819930679
639	0.1817485671
640	0.1812331552
641	0.1807335049
642	0.1804216799
643	0.1801762612
644	0.1798103321
645	0.1794577245
646	0.1792527054
647	0.1788590643
648	0.1784316654
649	0.1780203735
650	0.1778345227
651	0.1776808531
652	0.1774979541
653	0.1772317477
654	0.1767577497
655	0.176253093
656	0.1759612081
657	0.1757263465
658	0.17538006
659	0.1750051255
660	0.174434582
661	0.1742365548
662	0.17382869
663	0.1735538448
664	0.1731148392
665	0.1728321036
666	0.1722983964
667	0.1719348196
668	0.171497921
669	0.1711079196
670	0.1708115106
671	0.1704160897
672	0.1700173542
673	0.1696538211
674	0.1693581237
675	0.1691483329
676	0.1687625505
677	0.1685715547
678	0.1683435089
679	0.1678177941
680	0.1673598974
681	0.1670520744
682	0.1667748573
683	0.1664999531
684	0.1662050167
685	0.1660709673
686	0.1658760896
687	0.165653066
688	0.1654368048
689	0.1650428901
690	0.1645176891
691	0.1643092237
692	0.1641480432
693	0.1636820173
694	0.1635227033
695	0.1632099438
696	0.1627941549
697	0.1625605036
698	0.1623755831
699	0.1619955559
700	0.1615966964
701	0.1613062183
702	0.1609952183
703	0.1607209812
704	0.1605133733
705	0.160127226
706	0.159845414
707	0.159692729
708	0.1595545636
709	0.1592622692
710	0.1589997386
711	0.1585451426
712	0.1580956112
713	0.1578700005
714	0.157634599
715	0.1574693312
716	0.1572394105
717	0.1569606947
718	0.1567009259
719	0.1565305296
720	0.1560217341
721	0.1558089818
722	0.1555416158
723	0.1551674539
724	0.1547327804
725	0.1545156368
726	0.1543022578
727	0.1539696419
728	0.1536247228
729	0.1532204516
730	0.1529982328
731	0.152774308
732	0.1525797824
733	0.152144756
734	0.151793285
735	0.1514960864
736	0.1513898129
737	0.1509671866
738	0.1507906635
739	0.1506608306
740	0.1504259377
741	0.1502258889
742	0.1499291847
743	0.1495772454
744	0.1492455624
745	0.148978449
746	0.1484860762
747	0.1482293463
748	0.1477270794
749	0.1474149979
750	0.1470754106
751	0.1467967921
752	0.146533147
753	0.1462133466
754	0.1460208364
755	0.1457821315
756	0.1455126443
757	0.1452171455
758	0.1449989127
759	0.1447746417
760	0.1446113798
761	0.1443819011
762	0.1440805882
763	0.1437382351
764	0.1434217251
765	0.1430780204
766	0.1427377236
767	0.1426109154
768	0.1424272001
769	0.1421681983
770	0.1419211067
771	0.1415965402
772	0.1413707142
773	0.1411702792
774	0.140914233
775	0.140671484
776	0.1405340818
777	0.1402225885
778	0.1400308468
779	0.1397092416
780	0.1393525365
781	0.1390312582
782	0.1388064905
783	0.1385020577
784	0.1383098586
785	0.1379689411
786	0.1377902612
787	0.1375935256
788	0.1372372787
789	0.1369278786
790	0.1367106263
791	0.1366093854
792	0.1363226495
793	0.1359979444
794	0.1357556378
795	0.1355926338
796	0.135458434
797	0.135282821
798	0.1350349423
799	0.1348493573
800	0.1346371868
801	0.1344704297
802	0.1342055669
803	0.1339925179
804	0.1336216987
805	0.1334258077
806	0.1332416158
807	0.1330797602
808	0.1328715974
809	0.1326449119
810	0.1323003998
811	0.1320641985
812	0.1318115916
813	0.1314478398
814	0.1311977513
815	0.1310051933
816	0.130769476
817	0.1305963602
818	0.1302797064
819	0.130014133
820	0.129723293
821	0.1295034303
822	0.1292328367
823	0.1291111899
824	0.1288654808
825	0.1286481093
826	0.1284416876
827	0.1282591846
828	0.1280238777
829	0.1277384075
830	0.1275461278
831	0.1273436792
832	0.1272945701
833	0.127117231
834	0.1268775858
835	0.126693648
836	0.1264636548
837	0.1261776976
838	0.1260633544
839	0.1259104863
840	0.1257393257
841	0.1254892271
842	0.1252807563
843	0.1250424078
844	0.1248077517
845	0.1245869389
846	0.1244476761
847	0.1241230666
848	0.1238361034
849	0.1234600164
850	0.1232773348
851	0.1229654322
852	0.1227558565
853	0.1225444147
854	0.1223859935
855	0.1219984789
856	0.121788761
857	0.1216952727
858	0.1214907394
859	0.1212934427
860	0.1211682796
861	0.1209308828
862	0.1207965381
863	0.1205739169
864	0.1203390998
865	0.1201021816
866	0.1198880507
867	0.1197657288
868	0.1195932154
869	0.1193518196
870	0.1190723475
871	0.1188634123
872	0.1186448287
873	0.1184659185
874	0.1182270786
875	0.1180312276
876	0.117809486
877	0.1175858545
878	0.1173324275
879	0.1170779789
880	0.1167425671
881	0.1165262413
882	0.1163253996
883	0.1161121915
884	0.1157973642
885	0.115678115
886	0.1154432298
887	0.1152456587
888	0.1151743112
889	0.1150032117
890	0.1148564653
891	0.114739576
892	0.1146212927
893	0.1144992833
894	0.1142995093
895	0.1141570483
896	0.1138417425
897	0.1135751553
898	0.1133529661
899	0.1131437901
900	0.1129876451
901	0.1127048828
902	0.1126109808
903	0.1124885406
904	0.1122488225
905	0.1120024208
906	0.1117394887
907	0.111574339
908	0.1114691242
909	0.1112730692
910	0.1110629683
911	0.1108845354
912	0.1106992371
913	0.1104731298
914	0.11033881
915	0.110160377
916	0.1100783953
917	0.1099093815
918	0.1097139584
919	0.1096264319
920	0.1094000573
921	0.1092683771
922	0.1090201076
923	0.1087627668
924	0.1086246745
925	0.10846686
926	0.1082231622
927	0.1079442594
928	0.1078054261
929	0.1075449596
930	0.1074176373
931	0.1072129463
932	0.1069945466
933	0.1068963794
934	0.1067245323
935	0.1065255736
936	0.106386421
937	0.106202088
938	0.1060419632
939	0.1057993958
940	0.1055712363
941	0.1053005928
942	0.1051093239
943	0.1049899316
944	0.1047391386
945	0.1045643042
946	0.1044139943
947	0.1042071027
948	0.1041428085
949	0.1040353228
950	0.1039069777
951	0.1037605356
952	0.1036029753
953	0.1034290611
954	0.1032805493
955	0.1029821911
956	0.1027638414
957	0.102562376
958	0.1023766415
959	0.1022633998
960	0.1020769964
961	0.1019063907
962	0.1018019189
963	0.1016497218
964	0.1014266537
965	0.101330934
966	0.1012036616
967	0.1010565448
968	0.1009242764
969	0.100805052
970	0.1006547367
971	0.1005042477
972	0.1003193693
973	0.1001409164
974	0.09998435561
975	0.09985366813
976	0.0996153794
977	0.09951220291
978	0.09940790302
979	0.09918455607
980	0.09907712282
981	0.09894336824
982	0.09868607307
983	0.09843638283
984	0.09831819335
985	0.0981735563
986	0.09794409008
987	0.09774062062
988	0.09755837347
989	0.09745426808
990	0.09732272643
991	0.09712649073
992	0.09694261104
993	0.0968349551
994	0.09672058605
995	0.09660924924
996	0.09646246526
997	0.09636102187
998	0.09625576025
999	0.09608454376
